time_s	lane_id	generated_tokens	phase
136.000	mistral-small-4-119b-ud-q4km	933	decode
136.000	gemma4-26b-a4b-q4km-gemma-bin	5848	decode
136.000	gemma4-e2b-q4km-gemma-bin	8192	done
138.000	qwen36-27b-dflash-pflash	2100	decode
138.000	qwen36-27b-baseline	959	decode
138.000	qwen36-35b-a3b-dynamic-strix	7290	decode
138.000	mistral-small-4-119b-ud-q4km	957	decode
138.000	gemma4-26b-a4b-q4km-gemma-bin	5944	decode
138.000	gemma4-e2b-q4km-gemma-bin	8192	done
140.000	qwen36-27b-dflash-pflash	2134	decode
140.000	qwen36-27b-baseline	983	decode
140.000	qwen36-35b-a3b-dynamic-strix	7409	decode
140.000	mistral-small-4-119b-ud-q4km	981	decode
140.000	gemma4-26b-a4b-q4km-gemma-bin	6040	decode
140.000	gemma4-e2b-q4km-gemma-bin	8192	done
142.000	qwen36-27b-dflash-pflash	2168	decode
142.000	qwen36-27b-baseline	1007	decode
142.000	qwen36-35b-a3b-dynamic-strix	7528	decode
142.000	mistral-small-4-119b-ud-q4km	1005	decode
142.000	gemma4-26b-a4b-q4km-gemma-bin	6136	decode
142.000	gemma4-e2b-q4km-gemma-bin	8192	done
144.000	qwen36-27b-dflash-pflash	2202	decode
144.000	qwen36-27b-baseline	1031	decode
144.000	qwen36-35b-a3b-dynamic-strix	7647	decode
144.000	mistral-small-4-119b-ud-q4km	1028	decode
144.000	gemma4-26b-a4b-q4km-gemma-bin	6231	decode
144.000	gemma4-e2b-q4km-gemma-bin	8192	done
146.000	qwen36-27b-dflash-pflash	2236	decode
146.000	qwen36-27b-baseline	1055	decode
146.000	qwen36-35b-a3b-dynamic-strix	7766	decode
146.000	mistral-small-4-119b-ud-q4km	1052	decode
146.000	gemma4-26b-a4b-q4km-gemma-bin	6327	decode
146.000	gemma4-e2b-q4km-gemma-bin	8192	done
148.000	qwen36-27b-dflash-pflash	2269	decode
148.000	qwen36-27b-baseline	1079	decode
148.000	qwen36-35b-a3b-dynamic-strix	7885	decode
148.000	mistral-small-4-119b-ud-q4km	1076	decode
148.000	gemma4-26b-a4b-q4km-gemma-bin	6423	decode
148.000	gemma4-e2b-q4km-gemma-bin	8192	done
150.000	qwen36-27b-dflash-pflash	2303	decode
150.000	qwen36-27b-baseline	1103	decode
150.000	qwen36-35b-a3b-dynamic-strix	8003	decode
150.000	mistral-small-4-119b-ud-q4km	1100	decode
150.000	gemma4-26b-a4b-q4km-gemma-bin	6518	decode
150.000	gemma4-e2b-q4km-gemma-bin	8192	done
152.000	qwen36-27b-dflash-pflash	2337	decode
152.000	qwen36-27b-baseline	1128	decode
152.000	qwen36-35b-a3b-dynamic-strix	8122	decode
152.000	mistral-small-4-119b-ud-q4km	1124	decode
152.000	gemma4-26b-a4b-q4km-gemma-bin	6614	decode
152.000	gemma4-e2b-q4km-gemma-bin	8192	done
154.000	qwen36-27b-dflash-pflash	2371	decode
154.000	qwen36-27b-baseline	1152	decode
154.000	qwen36-35b-a3b-dynamic-strix	8192	done
154.000	mistral-small-4-119b-ud-q4km	1148	decode
154.000	gemma4-26b-a4b-q4km-gemma-bin	6710	decode
154.000	gemma4-e2b-q4km-gemma-bin	8192	done
156.000	qwen36-27b-dflash-pflash	2405	decode
156.000	qwen36-27b-baseline	1176	decode
156.000	qwen36-35b-a3b-dynamic-strix	8192	done
156.000	mistral-small-4-119b-ud-q4km	1171	decode
156.000	gemma4-26b-a4b-q4km-gemma-bin	6805	decode
156.000	gemma4-e2b-q4km-gemma-bin	8192	done
158.000	qwen36-27b-dflash-pflash	2439	decode
158.000	qwen36-27b-baseline	1200	decode
158.000	qwen36-35b-a3b-dynamic-strix	8192	done
158.000	mistral-small-4-119b-ud-q4km	1195	decode
158.000	gemma4-26b-a4b-q4km-gemma-bin	6901	decode
158.000	gemma4-e2b-q4km-gemma-bin	8192	done
160.000	qwen36-27b-dflash-pflash	2473	decode
160.000	qwen36-27b-baseline	1224	decode
160.000	qwen36-35b-a3b-dynamic-strix	8192	done
160.000	mistral-small-4-119b-ud-q4km	1219	decode
