ts_iso	epoch	prompt_tokens_total	prompt_seconds_total	tokens_predicted_total	tokens_predicted_seconds_total	requests_processing	requests_deferred
2026-05-12T22:17:50-0400	1778638670	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:52-0400	1778638672	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:55-0400	1778638675	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:57-0400	1778638677	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:59-0400	1778638679	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:01-0400	1778638681	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:03-0400	1778638683	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:05-0400	1778638685	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:07-0400	1778638687	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:09-0400	1778638689	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:11-0400	1778638691	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:13-0400	1778638693	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:15-0400	1778638695	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:17-0400	1778638697	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:19-0400	1778638699	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:21-0400	1778638701	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:24-0400	1778638704	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:26-0400	1778638706	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:28-0400	1778638708	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:30-0400	1778638710	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:32-0400	1778638712	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:34-0400	1778638714	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:36-0400	1778638716	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:38-0400	1778638718	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:40-0400	1778638720	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:42-0400	1778638722	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:44-0400	1778638724	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:46-0400	1778638726	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:48-0400	1778638728	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:50-0400	1778638730	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:53-0400	1778638733	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:55-0400	1778638735	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:57-0400	1778638737	33364	116.365	2048	168.881	1	0
2026-05-12T22:18:59-0400	1778638739	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:01-0400	1778638741	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:03-0400	1778638743	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:05-0400	1778638745	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:07-0400	1778638747	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:09-0400	1778638749	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:11-0400	1778638751	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:13-0400	1778638753	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:15-0400	1778638755	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:17-0400	1778638757	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:19-0400	1778638759	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:22-0400	1778638762	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:24-0400	1778638764	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:26-0400	1778638766	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:28-0400	1778638768	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:30-0400	1778638770	33364	116.365	2048	168.881	1	0
2026-05-12T22:19:32-0400	1778638772	33364	116.365	2048	168.881	1	0
